#threads,1,2,3,4,5,6,7,8,9,10
1,134.12978,134.63398,134.798185,133.861893,134.810653,135.153902,134.202165,133.946079,134.702346,134.113759
2,69.772221,75.136123,69.660068,69.400351,69.435383,69.38857,69.943024,70.012115,70.32063,70.025224
3,47.542152,50.887989,50.339067,47.72177,47.497752,47.540761,47.667863,47.435964,47.720949,47.583486
4,35.98953,37.966174,37.846798,37.95217,35.73743,35.795941,35.84603,35.825702,35.955036,35.93488
5,29.736505,30.534048,30.557075,30.604598,30.625771,29.46948,29.609818,29.546689,29.710628,29.592094
6,26.863793,25.895812,25.75666,25.2581,25.811534,25.027145,26.645534,26.679778,26.695725,26.633301
7,26.66783,22.241932,22.194546,21.721606,22.311098,22.290647,23.011667,26.120127,26.109749,26.173211
8,29.296779,19.567853,19.471857,19.498545,19.068479,19.646737,20.032216,23.001306,29.059981,29.188761
9,34.550761,17.648762,17.587505,17.212777,16.950355,17.684821,18.142735,20.933853,26.384869,34.470731
10,40.648082,15.938791,15.873496,15.847798,15.879056,15.989663,16.336006,18.655138,23.727412,31.66372
11,38.068755,14.857978,14.877966,14.793094,14.792573,14.878743,15.370601,17.54903,22.305271,29.485495
12,35.651278,13.914582,14.00087,13.89073,13.838824,13.993515,14.809477,16.499038,20.968403,28.016092
13,33.248383,13.026881,13.043209,12.961457,12.644381,13.110143,14.425274,15.69932,19.724838,25.946814
14,30.94925,12.195145,12.145919,12.217042,12.018795,12.282917,13.459206,15.396259,18.619477,24.262007
15,28.622233,11.304678,11.183969,11.365342,11.2548,11.440903,12.398099,16.0966,18.671534,23.00593
16,27.359309,10.620641,10.746534,11.012179,10.638019,10.846092,11.912505,16.072128,24.561908,23.30003
17,27.10588,10.219719,10.186681,10.627877,10.190886,10.480883,11.441112,14.744057,22.932022,23.260971
18,28.223702,9.694864,9.72331,10.406484,9.671907,9.59596,10.725936,13.523054,21.188427,31.925745
19,28.213541,9.69458,9.709893,10.393563,9.722845,9.66307,10.751783,13.454095,21.082347,31.71434
20,42.45991,9.243204,10.278326,10.340108,12.440471,9.265554,10.282424,14.301017,20.280331,30.944632
21,40.992208,8.892446,9.582692,9.5866,12.90834,8.858418,9.780694,12.673406,19.136525,29.706299
22,41.030884,8.952491,9.618048,9.630702,12.86931,8.846256,9.761844,12.895567,19.379729,29.419341
23,37.726269,9.329156,9.413915,9.5282,13.525267,11.256141,9.640936,13.742054,20.010383,27.630046
24,36.502584,8.973299,8.805998,9.008249,13.245138,11.798031,8.96451,12.511207,19.094896,26.437397
25,36.623825,8.971202,8.841972,8.983299,13.254952,11.828445,8.998349,12.455209,18.966683,26.601312
26,36.367212,8.959734,8.875263,8.968999,13.149034,11.838715,9.003188,12.693243,19.000072,26.398842
27,33.599607,12.114074,13.121698,15.009003,16.974783,18.71691,14.894173,11.844986,18.173767,27.535231
28,33.471197,12.011944,13.033222,14.852848,16.78891,18.726252,14.80814,11.911803,18.316967,27.398757
29,33.386986,11.973502,13.123617,14.976306,17.098327,18.799345,14.933143,11.839683,18.118794,27.461025
30,33.349993,12.074063,13.168905,14.878217,16.968982,18.739923,14.808754,11.964346,17.93816,27.499374
31,33.422319,12.057937,13.149138,15.033625,17.179234,18.636286,14.889206,11.858487,18.145422,27.457067
32,33.508915,17.707157,17.125946,20.391511,16.789065,26.648766,28.013984,19.689014,18.642287,25.08241
33,32.415031,19.036515,18.975552,23.982149,19.037723,28.928549,28.534274,21.27403,18.884904,24.424314
34,32.407522,19.121307,18.717541,23.917859,18.956605,28.964205,28.423811,21.305262,18.997715,24.529189
35,32.316036,19.13392,19.026088,24.1093,19.077594,28.921906,28.598884,21.408682,19.101019,24.607634
36,32.413829,18.964904,19.139917,23.958301,18.965912,29.001121,28.582104,21.443856,18.781494,24.572693
37,32.41068,19.419575,19.094777,23.924918,18.979216,28.937122,28.614787,21.094067,19.187352,24.542054
38,32.357348,19.076339,18.887102,24.138423,18.92879,28.922896,28.487597,21.41292,18.92741,24.487253
39,32.372927,19.180326,19.203914,24.124825,19.000711,28.953149,28.666243,21.197342,19.354716,24.530175
40,34.249901,32.035373,32.022298,31.990957,31.498458,31.50943,32.651741,33.024255,33.146315,33.701234
